text|stars
The best of all the Harkins. Better array of munchies and really friendly staff. Also, I wasn't overly carded on my inexpensive purchases. At the Superstition Springs location, I'm carded four times between the parking lot and my seat. Chances are...if I steal a credit card, I'm not gonna sit in the same spot for three hours awaiting the po-po.|1
my family and i hosted my sister's graduation sendoff here and it was a great event!  debbie in the events office as well as the staff she sent us to be of service throughout the event were wonderful.  food was delicious - we ordered buffet style (chicken milanese, sirloin steak, appetizers, and beverages) for about 150 people.   the tech staff was very helpful in setting up our equipment for a slide show as well as providing equipment for us to play our own music at the event.  servers were polite and accomodating to any of the guests' requests. and the facility is beautiful.  they even let me go super early in the morning being the type A personality i am to decorate myself and set things up.  overall wonderful experience with this resort and its staff. would love to host another event here in the future.  thanks, scottsdale plaza resort!|1
These dentists are great at explaining medical issues in a way that you can understand. They are honest and very smart. They don't take my insurance and I still go there (lets face it, dental insurance doesn't reimburse much, so it's only like a $15 difference for me to go out of network for a cleaning). I would never go anywhere else!|1
ouchh...my fuckin head is pounding this morning.  thanks a lot guys!|1
Screw Disneyland- Sephora is the happiest place on earth!  They have everything a girly girl or a girly guy could possibly dream of and then some! They have all the best brands in cosmetics, skin care and perfume and they're always adding new items to their extensive product selection.  To me, getting a gift card to Sephora is like having Christmas morning over and over again.  Everywhere you look there are sparkly blushes, lip plumping glosses, lash-extending mascaras and anti-aging face creams- what more could anyone ask for? I can understand why men might hate going into Sephora- but they do have some products for guys too- although not many.  As far as I know, Scottsdale Fashion Square is home to the only Sephora in Scottsdale, but even as great as it is, it still can't beat the one right on the strip in Vegas.  They're open really late and you can shop with a drink in your hand- what could be better than that?|1
One of my favorite places  to get Indian food. I'm vegan so I love that there is so much  to choose from. My all time favorite is the chili gobi and vegetable manchurian. I'm so glad Udupi reopened.|1
I went in at 8 on a Thursday night, and the place was pretty empty except for a family of 4 eating.  The layout is a little strange, it looks like you should order at the big window with the kitchen behind it, but you actually order in the back right corner of the restaurant.  The girl who took my order was very friendly and made my fat ass feel welcome there, which is pretty rare these days.  She suggested I do the slider plate, which I did with a side of green chili mac and cheese and cornbread.  It took about 10 minutes for my order to come out, which is probably a good sign that they were at least spending some time cooking something back there.  The sliders were awesome, all the meat was very moist and full of smoky flavor, my favorite out of the three was definitely the pulled pork.  The green chili mac and cheese was also very good, which was somewhat surprising to me.  I was expecting Stouffer's with pickled jalapenos stirred in, but it was far from that.  For being the end of the night, it was very fresh and cheesy.  The only part of the meal that wasn't great was the cornbread, but I don't think you can really do much to cornbread to make it wow you anyway.  I definitely like this better than Honey Bears, and it doesn't even compare to the BBQ joke Famous Dave's.  When I have tailgate this year, Andrew's will definitely be my go to place for everything.  Also, my meal only ran me about $8.50 and it was very filling and worth every penny.|1
I love their menu!  The garlic mashed potatoes-amazing!  Steak-melts in  your mouth!  Service - great!  Big fan of Applebee's!|1
Great spa... If you don't mind spending a few bucks, this is the place for you. Neat water fall room, roof top pool, and eucalyptus room! I've had multiple massages here & they were exceptional. Outstanding customer service too.|1
"I stumbled across this restaurant several years ago after becoming frustrated with the generally 2 hour wait, (no matter what day) at a DIFFERENT pizza restaurant in Heritage square, downtown Phoenix.  Although the pizza was terrific at that ""other"" restaurant in Heritage square, I had a pretty UNBELIEVABLE experience....I was with a date, we waited the 2+ hours, had a really good dinner, salad, an appetizer and pizza.  We decided we wanted another pizza and when we asked our server for another, we were told that we could not because there was a line of people waiting to get in.  I was amazed.  We left knowing we would NEVER go back.  I heard about La Piazza al Forno not long after that experience.....I truly believe things happen for a reason.  The pizza was even better and has been consistant ever since.  The service was very warm and friendly, literally like a family welcoming me into their home.  I learned that night, that it was one big family run business.  Oh and by the way, the best...did I say BEST pizza that I not only have had in AZ, but NY has nothing over them!  Icing on the cake, the prices are VERY reasonable! I GOTTA have a fix every 10 days! For the longest time I didn't want to tell anyone about my secret, however, they DESERVE to be known!  AWESOME!!!"|1
One of a kind place to experience all senses!!  Food was great, service was great, AND they have a Moroccan Healer on staff.  Ask to taste the Moroccan Black Stone (not on normal menu).  I won't spoil how it makes you feel, but trust me when I say you will enjoy yourself! ;)|1
This place is just so so rad. It was about time that AZ has a high end sneaker boutique.  The selection of sneakers as well as clothes is above all. No kidding. I bought a pair of limited edition Jordans as a gift here. All of the sneakers here a so unique and fun, and it really puts the fun in sneaker shopping again.   Sure, you can go to finish line and get a pair of sneakers there. And you will see various other people wearing the same ones. If you really want to find funky stuff to express yourself with, this is the place. AND to make it even better...they sell for retail! So markups? Not an issue.  Do yourself a favor and check this place out...|1
Just got 5 Diamond Dermabrasion  On Arms, Back and Face and I Love it  She is a perfectionist,  Organize, Clean, and the most amazing quality service  she finished my facial with Ice I basically melted This is My Best present for My coming B Day  this Sunday I will Look like I am in High School this weekend with m Super Fresh Skin PaulGStudio.com highly recommends this better that The Red Door service and amazing and real Customer Service. She has a 1/2 off coupon on the entrance of the building for the first service  Please Enjoy|1
I needed new tires & 2 months later my husband. Both experiences the staff went out of their way to either get it done on time or make it work price wise! I have always used them for my tire needs and we travel for jobs so we need them a lot,|1
Finally, a great place to get breakfast that isn't Denny's or iHop in Gilbert. Came here with my family and we just made it before the change in menus.   The griddle bread pudding was AMAZING! Probably the highlight of the meal. We also ordered the veggie sandwich, All-American breakfast (?), a slice of red velvet cake.    We have definitely found our go-to Breakfast joint when my sister and I, both come back to Gilbert to visit the 'Rents.|1
"I think its about time I wrote a formal review for this establishment, considering I have recently bestowed it as ""My Favorite Restaurant"" - that's a big title to carry.   I often judge Mexican restaurants based solely on their chips and salsa and Gallo Blanco passes that test.  They have a delicious green tomatillo and smoky chipotle - as well as the typical hot sauce and fresh pico.  Their chunky guac is delish and summery, as they put orange slices in it.   Although the chiccharon gets a lot of buzz (I think it taste like Cheez-Its), their best appetizer is the Elote - grilled corn-on-the-cob with cheese on it. It literally melts in your mouth! Oh, and it doesn't get stuck in your teeth like most corn-on-the-cobs tend to.   The orange cake is AMAZING and reminds me of my beloved red velvet - except, you know, orange.   I love everything about this restaurant - salsas, food, drinks, atmosphere, prices, entertainment (on Wednesday!) - they just need to get rid of that damn giant, ugly, silver air conditioning thing they have running through the bar."|1
I liked this place. The reviews show low stars but I liked it. I was there for happy hour so go at that time. The pricing is good. I don't know about dinner, but happy hour is cool.  Servers were chill.  Host was a bit stuck up. Not sure why she though she was that great. But the place is cool. I recommend people check it out if they want to try a sushi place on the Mill ave when you are in town visiting Tempe.|1
Never disappointed with this place!  Get the brisket, get the pork. Get the beans. They're bangin'!!!!!! The sauce is delicious the mac and cheese is pretty good, the cheesy potatoes are good too. The real standouts I would have to say are the brisket and the beans. Do NOT skip the beans. Trust me.   I'm not even a meat person but I do like Joe's because everything is cooked just right. Order extra of everything and you will be glad you did. Makes for great leftovers. Don't forget to get some BBQ sauce too. Personally, I'm not one to douse everything in BBQ sauce, just a little dip here and there, but the sauces are really good.   Even my young niece and nephew enjoy the food. It's simple, down-home good food even the pickiest eaters can enjoy. I've never actually dined-in at this place. I've always called in an order for pick up or ordered right at the take-out window. They are pretty fast.  My future father-in-law wants me to choose Joe's to cater our wedding rehearsal dinner. Did I really ever imagine in my wildest princess wedding dreams that I would choose BBQ for my rehearsal dinner? Not really, but Joe's is excellent, and we're heading toward a laid-back wedding theme anyway to take it easy on our many out-of-town family and friends. I am sure they will all love Joe's and I can't wait for them to try it!|1
I am not one to hang out in Downtown Phoenix before or after an event because quite frankly it's boring.  However, when I visited Copper Blues on 2/4/12 prior to the comedy show next door I will definitely be hanging out after events.  Here's Why ... They have a live band and over sixty beers on tap.  It's a nice cozy environment especially if you sit outside.  Budweiser drafts were only $5 and soda was only $3.  We didn't try their food but I hear the same owner owns both Copper and Stand Up Live so I am sure the kitchen is the same so I am confident in saying that the food is delicious because it was at Stand Up Live.  Happy hour is 4PM to 7PM Sun-Thurs so its basically perfect when any event is taking place during on those days.  On this Satuday night people were having a good time.  The draft beer was perfect and fresh.  The music was good and the bartender was real friendly and answered all of our questions cheerfully.  We had such a great time that me and my wife are going back to Copper Blues on 2/23/12 to hang out and drink with friends prior to our comedy show next door.  This is a nice spot and you have to check it out especially if you are going to the show next door !|1
I had the terrible decision to make to euthanize my 20 year old cat, Bandit. I was going to go to the Emergency Animal Clinic off of Scottsdale Rd. further north but I had previously had a bad experience there. I saw there were some good reviews for this Emergency Animal Hospital and, thank God I did. They were so kind and compassionate. They let us take our time, never rushed us. They knew it was a very painful thing to have to do. They made one of the worst things I have ever had to do as 'easy' as they possibly could have. They eased my nagging doubts about it without putting words in my mouth. I am ever grateful for their kindness on that incredibly sad day and would recommend them to anyone who has an animal friend who needs some emergency care.|1
I love this place! I love that it's to-go only (no 3 hour waits, like Pizzaria Bianco), and the mozzarella is mouth watering.  Please try the mozzarella, tomato, basil sandwich. You won't regret it!|1
I go to Regio's a lot; today I went and want to reiterate how great I think it is.  I have been going there for a couple years - have never been disappointed in anything I've ordered.  Their beans are delicious, as is their menudo (only on Saturday and Sunday, unfortunately), and eveything else: tacos, burritos, enchiladas, chile rellenos, etc, etc, etc. is great.  It is so inexpensive it's hard to believe.  Today my bff and I had 5 tacos and an order of beans (between us) and it was $10. HELLO! We had the mini-tacos, but we were stuffed and left there saying how wonderful it was and how full we were.   Check it out next time you're in the mood for some awesome, authentic Mexican food.  You will be glad you did.  Yummy.|1
Every time I visit Arizona I love to eat here to food is vary good and I have my wife to thank for turning me on too this restaurant I wish they would have some in Georgia|1
Just when I'm about to give up on my search for good Thai around Glendale, I stumble upon a true diamond in the rough. Don't be fooled by the shabby looks of the outside plaza; the inside is contrarily well orchestrated with subtle Thai ornaments and design. A huge desk in the lobby and bigger one inside the dining hall gives this establishment an odd but distinct hotel feel. Much like that feeling, the service is intriguingly exceptional from the time you walk into the front door.   The food that I've tried here so far is... may I say it... divine. I started off with the squid salad with mint and lemongrass and it was packed with fish sauce and shrimp paste. Score. I also tried some papaya salad and once again, it was mounded in fish sauce and chili. Splendid. Then I had the minced beef phad kaprow (which is not on the menu) and lo and behold, I was tasting Phuket in a Bangkok sort of way. To be honest... the sauces from each of these entrees mingle quite well. You can drizzle some of each dripping over rice and literally have an orgy in your mouth of Mormonic proportions. You can also bolster it with some more heat with their chili fish sauce, again drizzled all over your concoction. Let your adventurous mind roam free and order something outside the pad thai genre. It will pay off handsomely.|1
Cant say enough good things about Sens. Excellent food and excellent service.|1
What a great surprise stumbling across this bank!  Open 7 days a week with lobby service  I have banked with the Mega Uber Banks and have been nickeled and dimed (literally) with service fees.  I opened both a savings and checking account here.  Since my company does not offer direct deposit the associate told me I would have to have a traditional checking account with service fees.  I'm thinking - here we go again.  But it was one of those think on your feet moments.  Off they went (I'll assume to get approval).   They let me open up a type of checking account that only charges you for check printing - No other fees and pays interest.  In fact, if you use a non-MidFirst Bank ATM, they will refund you the service fees.  How refreshing with the current state of banking.|1
One of my favorite places to satisfy my sweet tooth!  I typically will get sorbet, and on this evening I decided to get the Raspberry sorbet.  I believe that this Gelato Spot location has the nicest ambiance of all the locations.  After getting my sorbet, I enjoy sitting out on the patio.|1
I have been going to Mesha's Salon and Spa for the past 5 years and absolutley love it. I see Michelle (the owner) and she comes up with some great new looks for me.  I have gone from short hair, funky styles and colors and long and sexy hair. She is awesome and I love her recommendations. There have been times I have gone in and not knowing what to do... and she always comes up with something that makes me feel fabulous !! I will never go anywhere else.|1
This little joint is right down the street from my crib and I've had the chance to dine here on several occasions (take out and dine in). Each and every time its been great! Extremely fresh ingredients and even better prices!! Great local place to get some great grub on a small budget. Highly recommended!|1
Wow...  I regress into some sort of '90s Valley Girl stereotype when chirping in delight over how good Switch is! How I was missing  a review for a Short List restaurant that I recommend to ev-er-yyyyy one I meet who is new to Phoenix and even remotely cool!?  Switch is reliably good food served in a reliably good atmosphere by reliably good servers. The combination of service, setting and grub makes Switch a go-to for affordable dining that has appeal for a wide variety of people. If I think that someone might be too uptight or too culinarily 'safe' to really enjoy Fez I know that I can take them to Switch, they can hone in on comfort food basics and I will still have an enjoyably awesome dining experience myself because all the basics are done with love, care and actual effort.   I think I prefer Switch's menu to Fez's because of the combination of classic choices mixed in with flavor play and more diverse fare. And we end up at Switch a lot because they have awesome outdoor loungey space which works for friends who are smokers and for a quieter, more intimate chic and cool dinner-drinks and gossip night.   It's really a gift to have this place in Downtown and a real gem in the Valley overall.  We have on occasion had our asses kicked by the bar, specifically by the Drunken Italian Sodas which are so very, very good!|1
We showed up out of the blue on Valentine's night looking for food. We got a seat at the sushi bar right away, but the place was otherwise packed. I guess we were lucky. We passed on the V-day prix-fixe menu and decided to order as we ate.  Our waitress was visibly perturbed by my wife's order of tap water to drink and vegetable tempura to start. Judging by her expression, she took us for deadbeats; it wasn't offensive but hilarious, we're old enough to be confident in our own opinions of ourselves. Anyway, the vibe at the W was definitely people trying hard to be cool and of-the-moment.  In any event, we struck up a conversation with the chef behind the bar where we were sitting. We initially ordered some basic sashimi dishes, but when I asked the chef for suggestions, he started rattling off a series of custom creations he could make. So we let him do his best, and he turned out a great collection of sashimi dishes, none, at least as far as I could tell, on the menu.   We had a great meal, and we would definitely return, at least if we didn't live in San Diego.  (The waitress eventually warmed up, probably thawing as she watched us eat through plate after plate of sashimi....)|1
"We went here for my wife's birthday, and it's a rare 5-star review for me. They scored on food, presentation, service and atmosphere. We sat indoors - it's a bit hot out still - and loved the decor, including the fun pillows on our large booth seat. Service was prompt, friendly, and attentive - but we never felt rushed. They make a killer mango mojito that perfectly balances the mango, lime and rum flavors. The kurobuta pork was perfectly prepared. And after having some disappointing lobster (in Maine of all places) the Maine lobster here was done just right - firm but not tough. They serve it ""lazy style"" and did a great job with both claw and tail meat coming out perfectly. A special birthday souffle topped the evening off. Expensive but absolutely worth it for a special occasion."|1
Excellent in every way.  Attentive and fun owners who tend bar every weekend night - GREAT live music, excellent wine selection.   Keeping Fountain Hills young.... one weekend at a time.|1
This is hands down the best burrito in the East Valley! Fav's is always consistent and their prices are excellent! My standard meal is a California Carne Asada burrito, it comes with the most tender carne asada I've ever had. Also, their green and red sauce is a step above the competition, and they have great mexican rice, it comes with peas and carrots! Guac is exceptional, and they also have really tasty breakfast burritos that are available all day. Five stars for being consistent, clean and for having pleasant and professional employees! One more thing is that they close at midnight except for Sunday when they close at 10. Bummer but still the best!|1
Love the wings!|1
Love this place !  Food is spicy and always cooked just right.  Menu changes every so often and have nightly specials too.  Service is great.  No matter what night you go it is busy.  it is a great little find.|1
I was in this area and went here for lunch today based on the Yelp reviews. I had a molete and lengua, fish, and pastor tacos. Washed it all down with a Mexican coke, made an awesome lunch! Everything was so good I ordered a shrimp burrito to go and shared it with a friend after I left. I'll be back to try more things next time I'm in the area!|1
"I love pueblo pediatric also!  And, also surprised there aren't any reviews! There staff is always friendly and helpful. Rooms are always clean.  I take my baby to Dr. Salek. He always answers all of our questions and never makes us feel ""stupid"" for asking. He also takes his time and even asks us how we are doing. Most physicians these days are in and out of the room before you can even feel like your questions are answered, but Dr. Salek really takes his time.  I went in during a very busy day...flu season actually.  My baby had a fever and I called the office to fit me in. They did surprisingly and I saw Dr. Salek. He examined my baby and reassured me his fever is fighting off infection and not to worry.  Well as any mom, I was worried and continued with my questions...I was there for 30 min with him and not once did he make me feel rushed. I even thanked him for squeezing us in and he replied ""we would rather stay later to see all our sick patients than to send you to urgent care because we are overbooked"".  Now that's what I call service...if only MY doctor would fit me in and not send me to urgent care! I haven't seen the other physicians but am sure they are just as good! Also, they are a private practice from what I know so each physician owns part of the practice...meaning they take pride in what they do!"|1
Elmer, I love you.  I have since I was a senior at Chandler High. Back then I was broke so I could only get a bean burrito and strips...and they were dang good.   If anyone wants to complain about strips just being chips and cheese they can suck it.  Now days I am a little less broke so I always get the green chili burro. And it is always so good. Spicy enough to burn a little and the tortilla is always fresh...thanks man.  And bless your little Mexican Heart, you serve corn dogs...so I can even come here with my crazy picky kids.   I love you Elmer. I always will.|1
Bookmans is Great!  They probably don't need another positive review but so what.  I use Bookmans for recycling books I've read and for buying used books for myself.  All I can say is that I like everything about the way they do business.  They have great people working there.  The store vibe is very positive.  Their prices are very fair and what they pay for your used books is incredibly fair, plus you know that you've made a positive contribution to our society by recycling books that others can enjoy.  Do yourself a favor and stop in.  Enjoy!|1
This place is such a delightful treat. Not only is the Barrio Cafe in what some Phoenicians would called the actual barrio, but it's non-descript on the outside and purely magical within. Not terribly difficult you keep your eyes peeled, Barrio Cafe is one of the best Mexican restaurants in Arizona and is a must try for any Phoenix local.   You really can't go wrong with anything on their menu, although their seafood offerings are my least favorites. I am in love with their conchita pibil, which is their slow-roasted pork and they have the best made-at-the-table guacamole in all of Phoenix. Their food is the kind of special occasion dinner that you and all your guests will be savoring every morsel, but save room for one of their delectable desserts! I'm a fan of their flan, in particular.   Service is spot on and it's usually pretty packed, so come as early as you can or face a semi-long wait at the bar. Don't worry though, they've got great margaritas. This is the place Tempe's Mucho Gusto wished it could be some day. But it probably won't.|1
...the customer service alone gets 5 stars, but when you factor in the semi-annual sales it is more like 6.  Having been to a number of Nordstrom's in multiple cities I'd put this particular location on the same level as those in San Francisco (without the assinine traffic to contend with) and Seattle and only a notch below the best of the best in Chicago.    Living in a city with a Nordstrom and a Nordstrom Rack is going to be a daily exercise in resisting temptation.|1
Best pizza I've had anywhere.  Perfect, perfect and I mean perfect crust.  Thin, chewy, smoky and sweet.  Lots of interesting toppings that center around fresh, local produce.  I deeply envy the regulars here.|1
Great Mexican food.  Authentic street tacos plus a full menu of tasty dishes.  Halibut tacos remind me of Ensenada Michelada with Pacifico beer is a perfect beverage for any dish.|1
Love the shows the promoters bring in. Cozy spot where I've seen Owl City, A Fine Frenzy, Landon Pigg and more. Plus they are generous with the Malibu Rum :) You will need to visit the bar to get your own as I've never really seen cocktail servers. Oh well...   Atmosphere is laid back, chill. A large patio. And yes, the Shaker Room. The hot, shake your stripper ass, place to be.|1
